id,homepage,domain,url_search_string,label,notes,platform,pub_country,pub_state,media_type,stories_per_week,first_story,primary_language
305304,http://ugeavisen.dk/ribe,ugeavisen.dk,,Ugeavisen.dk - Forside - Lokal - Esbjerg - Ribe,,online_news,DNK,DK-83,print_native,,,da
305288,http://www.nordschleswiger.dk/,nordschleswiger.dk,,Der Nordschleswiger – Deutsche Tageszeitung in Dänemark,,online_news,DNK,DK-83,print_native,,,de
305290,http://ansager.info/,ansager.info,,Ansager.info nyheder og kalender,,online_news,DNK,DK-83,digital_native,5,,da
305291,http://folkebladet.net/,folkebladet.net,,FOLKEBLADET | Avisen der udkommer hver tirsdag i hele Assens Kommune,,online_news,DNK,DK-83,print_native,10,,da
305292,http://www.lokalavisenassens.dk/,lokalavisenassens.dk,,LokalAvisen Assens | Nyheder om LokalAvisen Assens | Fyens.dk,,online_news,DNK,DK-83,print_native,,,da
305293,https://www.ugeavisen-bramming.dk/,ugeavisen-bramming.dk,,Ugeavisen - Bramming,,online_news,DNK,DK-83,print_native,,,
305312,http://vafo.dk/,vafo.dk,,Vejle Amts Folkeblad,,online_news,DNK,DK-83,print_native,18,,da
305297,http://frdb.dk/,frdb.dk,,Fredericia Dagblad,,online_news,DNK,DK-83,print_native,85,,da
305300,http://www.lokalavisennyborg.dk/,lokalavisennyborg.dk,,LokalAvisen Nyborg | Nyheder om LokalAvisen Nyborg | Fyens.dk,,online_news,DNK,DK-83,print_native,,,da
305302,http://www.ugeavisennordfyn.dk/,ugeavisennordfyn.dk,,UgeAvisen Nordfyn | Nyheder om UgeAvisen Nordfyn | Fyens.dk,,online_news,DNK,DK-83,print_native,,,da
305303,https://www.ugeavisen-aabenraa.dk/,ugeavisen-aabenraa.dk,,Ugeavisen-Aabenraa,,online_news,DNK,DK-83,print_native,,,
305315,http://kanal5new.sbstv.dk/,sbstv.dk,,Kanal5,,online_news,DNK,,video_broadcast,,,
305238,http://dinby.dk/aarhus-onsdag,dinby.dk,,dinby.dk,,online_news,DNK,DK-82,print_native,,,da
1189058,https://www.dagens.dk/,dagens.dk,,Dagens.dk,,online_news,,,,217,,
1712427,https://polennu.dk/,polennu.dk,,Polen | Nyheder og information fra Polen på dansk - polennu.dk,,online_news,,,,12,,
